day,learning,understanding,joy,label
1,10,9,10,intro
2,10,10,10,summaries
3,10,10,10,counts
4,10,10,10,quant
5,9,6,7,"groups, change"
6,NA ,NA,NA,holiday
7,10,6,7,stats theory
8,10,7,6,stats theory
9,9,9,7,data collecting
10,6,5,5,a3
